nama_usaha,kategori,deskripsi,latitude,longitude,kontak_wa,link_foto,link_gmaps,id_unik,produk_unggulan,jam_operasional,cerita_umkm
"Depot Lestari #1",Belanja,"Menjual barang kebutuhan sehari-hari lengkap, sembako murah, dan kebutuhan rumah tangga.",-7.156011,111.911210,081234567101,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-1,"Gula Pasir, Gas LPG 3kg",08:00 - 17:00,"Ini adalah kisah perjuangan UMKM Depot Lestari #1 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Fotokopi Sari #2",Kerajinan,"Memproduksi kerajinan tangan berkualitas tinggi berbahan lokal untuk hiasan dan peralatan rumah.",-7.149153,111.900486,081234567102,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-2,"Tampah, Caping, Keranjang Bambu",05:00 - 22:00,"Ini adalah kisah perjuangan UMKM Fotokopi Sari #2 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Bibit Sumber Rejeki #3",Kerajinan,"Memproduksi kerajinan tangan berkualitas tinggi berbahan lokal untuk hiasan dan peralatan rumah.",-7.139223,111.900273,081234567103,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-3,"Caping, Kain Batik, Tampah",09:00 - 21:00,"Ini adalah kisah perjuangan UMKM Bibit Sumber Rejeki #3 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Bengkel Indah #4",Kuliner,"Menyediakan aneka hidangan makanan dan minuman lezat khas Nusantara dengan harga merakyat.",-7.149224,111.895348,081234567104,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-4,"Es Teh, Gorengan Hangat",07:00 - 16:00,"Ini adalah kisah perjuangan UMKM Bengkel Indah #4 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Toko Sejahtera #5",Kerajinan,"Memproduksi kerajinan tangan berkualitas tinggi berbahan lokal untuk hiasan dan peralatan rumah.",-7.140484,111.895385,081234567105,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-5,"Keranjang Bambu, Tampah",06:00 - 15:00,"Ini adalah kisah perjuangan UMKM Toko Sejahtera #5 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Toko Jaya #6",Jasa,"Melayani jasa perbaikan, perawatan, dan kebutuhan teknis harian Anda secara cepat dan profesional.",-7.144492,111.901935,081234567106,,,umkm-test-6,"Instalasi Listrik, Cuci Pakaian",07:00 - 16:00,"Ini adalah kisah perjuangan UMKM Toko Jaya #6 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Laundry Berkah #7",Belanja,"Menjual barang kebutuhan sehari-hari lengkap, sembako murah, dan kebutuhan rumah tangga.",-7.138085,111.909136,081234567107,,,umkm-test-7,"Beras Premium, Minyak Goreng, Sembako",06:00 - 15:00,"Ini adalah kisah perjuangan UMKM Laundry Berkah #7 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Toko Barokah #8",Pertanian,"Menyediakan berbagai kebutuhan sarana pertanian, bibit unggul, dan pupuk organik berkualitas.",-7.142739,111.914806,081234567108,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-8,"Bibit Jagung, Bibit Padi",10:00 - 22:00,"Ini adalah kisah perjuangan UMKM Toko Barokah #8 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Bibit Jaya #9",Jasa,"Melayani jasa perbaikan, perawatan, dan kebutuhan teknis harian Anda secara cepat dan profesional.",-7.146788,111.898245,081234567109,,,umkm-test-9,"Servis Elektronik, Potong Rambut, Instalasi Listrik",06:00 - 15:00,"Ini adalah kisah perjuangan UMKM Bibit Jaya #9 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Jahit Barokah #10",Jasa,"Melayani jasa perbaikan, perawatan, dan kebutuhan teknis harian Anda secara cepat dan profesional.",-7.154057,111.907298,081234567110,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-10,"Servis Elektronik, Instalasi Listrik",07:00 - 16:00,"Ini adalah kisah perjuangan UMKM Jahit Barokah #10 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
